TRANSACTION_ID,TX_ID_2,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
0,0,2018-04-01 00:00:31,1,3156,57.16,31,0,0,0
1,1,2018-04-01 00:02:10,2,3412,81.51,130,0,0,0
2,2,2018-04-01 00:07:56,2,1365,146.0,476,0,0,0
3,3,2018-04-01 00:09:29,3,8737,64.49,569,0,0,0
4,4,2018-04-01 00:10:34,4,9906,50.99,634,0,0,0
5,5,2018-04-01 00:10:45,5,8803,44.71,645,0,0,0
6,6,2018-04-01 00:11:30,6,5490,96.03,690,0,0,0
7,7,2018-04-01 00:11:44,1,2486,24.36,704,0,0,0
8,8,2018-04-01 00:11:53,2,8354,26.34,713,0,0,0
9,9,2018-04-01 00:13:44,3,6212,59.07,824,0,0,0
10,10,2018-04-01 00:16:59,4,2198,58.06,1019,0,0,0
11,11,2018-04-01 00:17:44,2,7997,66.38,1064,0,0,0
12,12,2018-04-01 00:18:01,1,3372,54.51,1081,0,0,0
13,13,2018-04-01 00:19:22,4,1516,22.0,1162,0,0,0
14,14,2018-04-01 00:19:49,5,4111,28.42,1189,0,0,0
15,15,2018-04-01 00:20:03,5,1693,26.23,1203,0,0,0
16,16,2018-04-01 00:20:25,4,4322,92.69,1225,0,0,0
17,17,2018-04-01 00:20:40,4,6270,65.15,1240,0,0,0
18,18,2018-04-01 00:20:48,3,471,87.38,1248,0,0,0
19,19,2018-04-01 00:21:06,3,4223,68.98,1266,0,0,0
20,20,2018-04-01 00:21:09,1,931,140.75,1269,0,0,0
21,21,2018-04-01 00:22:14,2,6019,36.58,1334,0,0,0
22,22,2018-04-01 00:23:32,4,7998,48.3,1412,0,0,0
23,23,2018-04-01 00:25:24,5,9687,139.45,1524,0,0,0
24,24,2018-04-01 00:26:37,2,1257,63.19,1597,0,0,0
25,25,2018-04-01 00:26:54,1,8621,54.08,1614,0,0,0
26,26,2018-04-01 00:27:02,2,9739,36.91,1622,0,0,0
27,27,2018-04-01 00:27:27,1,9401,74.32,1647,0,0,0
28,28,2018-04-01 00:28:07,3,7758,12.18,1687,0,0,0
29,29,2018-04-01 00:28:12,4,2288,69.66,1692,0,0,0
30,30,2018-04-01 00:29:05,1,1317,8.75,1745,0,0,0
31,31,2018-04-01 00:29:47,2,6231,38.31,1787,0,0,0
32,32,2018-04-01 00:30:05,3,1611,92.74,1805,0,0,0
33,33,2018-04-01 00:30:45,5,3260,5.69,1845,0,0,0
34,34,2018-04-01 00:31:27,3,2696,75.0,1887,0,0,0
35,35,2018-04-01 00:31:51,1,8676,115.78,1911,0,0,0
36,36,2018-04-01 00:32:35,5,4972,39.3,1955,0,0,0
37,37,2018-04-01 00:32:53,4,4309,31.18,1973,0,0,0
38,38,2018-04-01 00:33:22,1,2897,37.39,2002,0,0,0
39,39,2018-04-01 00:33:56,4,3227,44.81,2036,0,0,0
40,40,2018-04-01 00:33:57,4,4971,33.95,2037,0,0,0
41,41,2018-04-01 00:34:14,2,7820,36.7,2054,0,0,0
42,42,2018-04-01 00:34:29,2,9969,53.55,2069,0,0,0
43,43,2018-04-01 00:34:45,3,2930,119.56,2085,0,0,0
44,44,2018-04-01 00:36:18,2,1315,16.48,2178,0,0,0
45,45,2018-04-01 00:36:39,2,4297,78.32,2199,0,0,0
46,46,2018-04-01 00:36:39,2,2061,48.03,2199,0,0,0
47,47,2018-04-01 00:37:06,4,3885,38.41,2226,0,0,0
48,48,2018-04-01 00:37:45,1,1562,43.52,2265,0,0,0
49,49,2018-04-01 00:38:22,4,1417,10.8,2302,0,0,0
50,50,2018-04-01 00:38:40,5,4112,130.35,2320,0,0,0
